,VIX,DXY,VIX_ret,DXY_ret,rolling_corr,rolling_corr_mean,rolling_corr_std,corr_z_score
2012-01-02,,80.28,,,,,,
2012-01-03,,79.611,,-0.008333333333333304,,,,
2012-01-04,,80.129,,0.0065066385298513385,,,,
2012-01-05,,80.936,,0.010071260093099887,,,,
2012-01-06,,81.254,,0.003929030344963946,,,,
2012-01-09,,81.051,,-0.002498338543333256,,,,
2012-01-10,,80.805,,-0.0030351260317577067,,,,
2012-01-11,,81.351,,0.006757007610915133,,,,
2012-01-12,,80.77,,-0.007141891310494031,,,,
2012-01-13,,81.515,,0.009223721678841112,,,,
2012-01-16,,81.515,,0.0,,,,
2012-01-17,,81.182,,-0.004085137704716857,,,,
2012-01-18,,80.609,,-0.007058214875218738,,,,
2012-01-19,,80.216,,-0.004875386123137648,,,,
2012-01-20,,80.223,,8.726438615735965e-05,,,,
2012-01-23,,79.783,,-0.005484711367064299,,,,
2012-01-24,,79.868,,0.0010653898700223596,,,,
2012-01-25,,79.579,,-0.00361847047628594,,,,
2012-01-26,,79.395,,-0.0023121677829577303,,,,
2012-01-27,,78.902,,-0.006209459033944098,,,,
2012-01-30,,79.167,,0.003358596740260067,,,,
2012-01-31,,79.288,,0.0015284146172016566,,,,
2012-02-01,,78.922,,-0.004616083139945548,,,,
2012-02-02,,78.991,,0.0008742809356072634,,,,
2012-02-03,,78.924,,-0.0008481978959626879,,,,
2012-02-06,,79.069,,0.0018372104809689649,,,,
2012-02-07,,78.576,,-0.006235060516763924,,,,
2012-02-08,,78.641,,0.0008272245978417914,,,,
2012-02-09,,78.566,,-0.0009537009956638309,,,,
2012-02-10,,79.114,,0.006975027365527131,,,,
2012-02-13,,78.946,,-0.0021235179614228494,,,,
2012-02-14,,79.58,,0.00803080586730176,,,,
2012-02-15,,79.67,,0.0011309374214627521,,,,
2012-02-16,,79.348,,-0.004041671896573451,,,,
2012-02-17,,79.331,,-0.00021424610576192826,,,,
2012-02-20,,79.331,,0.0,,,,
2012-02-21,,79.044,,-0.0036177534633372588,,,,
2012-02-22,,79.211,,0.0021127473306006284,,,,
2012-02-23,,78.819,,-0.004948807615103856,,,,
2012-02-24,,78.352,,-0.005924967330212194,,,,
2012-02-27,,78.568,,0.002756789871349641,,,,
2012-02-28,,78.273,,-0.003754709296405645,,,,
2012-02-29,,78.737,,0.005927970053530629,,,,
2012-03-01,,78.789,,0.0006604264831020501,,,,
2012-03-02,,79.403,,0.007792966023175918,,,,
2012-03-05,,79.3,,-0.0012971802072970773,,,,
2012-03-06,,79.866,,0.0071374527112231245,,,,
2012-03-07,,79.712,,-0.0019282297848896013,,,,
2012-03-08,,79.139,,-0.0071883781613810704,,,,
2012-03-09,,80.041,,0.011397667395342426,,,,
2012-03-12,,79.89,,-0.001886533151759684,,,,
2012-03-13,,80.193,,0.0037927149831016305,,,,
2012-03-14,,80.565,,0.00463880887359247,,,,
2012-03-15,,80.15,,-0.005151120213492066,,,,
2012-03-16,,79.786,,-0.004541484716157229,,,,
2012-03-19,,79.452,,-0.0041861980798636456,,,,
2012-03-20,,79.593,,0.0017746563963147999,,,,
2012-03-21,,79.657,,0.000804090812005942,,,,
2012-03-22,,79.736,,0.0009917521372886373,,,,
2012-03-23,,79.345,,-0.004903682151098709,,,,
2012-03-26,,78.982,,-0.004574957464238416,,,,
2012-03-27,,79.047,,0.0008229723228077024,,,,
2012-03-28,,79.126,,0.0009994054170303635,,,,
2012-03-29,,79.186,,0.0007582842554911817,,,,
2012-03-30,,79.004,,-0.002298386078347203,,,,
2012-04-02,,78.82,,-0.0023289960002026433,,,,
2012-04-03,,79.483,,0.008411570667343549,,,,
2012-04-04,,79.778,,0.0037114854748814263,,,,
2012-04-05,,80.076,,0.0037353656396499346,,,,
2012-04-06,,79.886,,-0.0023727458914031274,,,,
2012-04-09,,79.733,,-0.0019152292016122452,,,,
2012-04-10,,79.891,,0.001981613635508417,,,,
2012-04-11,,79.795,,-0.0012016372307268597,,,,
2012-04-12,,79.285,,-0.006391377905883844,,,,
2012-04-13,,79.888,,0.007605473923188555,,,,
2012-04-16,,79.555,,-0.004168335669937906,,,,
2012-04-17,,79.476,,-0.000993023694299655,,,,
2012-04-18,,79.538,,0.0007801097186572736,,,,
2012-04-19,,79.561,,0.00028916995649885813,,,,
2012-04-20,,79.194,,-0.004612812810296574,,,,
2012-04-23,,79.42,,0.0028537515468343155,,,,
2012-04-24,,79.225,,-0.0024553009317552776,,,,
2012-04-25,,79.012,,-0.002688545282423349,,,,
2012-04-26,,78.919,,-0.0011770363995342592,,,,
2012-04-27,,78.709,,-0.002660956170250417,,,,
2012-04-30,,78.776,,0.0008512368344153476,,,,
2012-05-01,,78.864,,0.0011170914999494297,,,,
2012-05-02,,79.132,,0.0033982552241833552,,,,
2012-05-03,,79.221,,0.0011247030278522807,,,,
2012-05-04,,79.498,,0.0034965476325721223,,,,
2012-05-07,,79.603,,0.0013207879443506432,,,,
2012-05-08,,79.738,,0.0016959159830660653,,,,
2012-05-09,,80.08,,0.004289046627705684,,,,
2012-05-10,,80.112,,0.00039960039960029725,,,,
2012-05-11,,80.264,,0.001897343718793687,,,,
2012-05-14,,80.606,,0.0042609389016246,,,,
2012-05-15,,81.221,,0.007629704984740693,,,,
2012-05-16,,81.372,,0.0018591251031137013,,,,
2012-05-17,,81.383,,0.0001351816349604018,,,,
2012-05-18,,81.292,,-0.0011181696423084864,,,,
2012-05-21,,81.084,,-0.0025586773606258717,,,,
2012-05-22,,81.493,,0.0050441517438704064,,,,
2012-05-23,,82.094,,0.007374866552955384,,,,
2012-05-24,,82.347,,0.0030818330206836553,,,,
2012-05-25,,82.402,,0.0006679053274558644,,,,
2012-05-28,,82.402,,0.0,,,,
2012-05-29,,82.48,,0.0009465789665299429,,,,
2012-05-30,,83.018,,0.006522793404461602,,,,
2012-05-31,,83.043,,0.00030113951191323984,,,,
2012-06-01,,82.89,,-0.0018424189877533914,,,,
2012-06-04,,82.557,,-0.004017372421281196,,,,
2012-06-05,,82.825,,0.0032462419903824813,,,,
2012-06-06,,82.321,,-0.006085119227286495,,,,
2012-06-07,,82.051,,-0.003279843539315541,,,,
2012-06-08,,82.511,,0.005606269271550612,,,,
2012-06-11,,82.515,,4.84783847003456e-05,,,,
2012-06-12,,82.423,,-0.0011149487971883199,,,,
2012-06-13,,82.058,,-0.00442837557477882,,,,
2012-06-14,,81.99,,-0.0008286821516489962,,,,
2012-06-15,,81.628,,-0.0044151725820221754,,,,
2012-06-18,,81.946,,0.0038957220561570693,,,,
2012-06-19,,81.378,,-0.006931393844726963,,,,
2012-06-20,,81.583,,0.0025191083585243135,,,,
2012-06-21,,82.29,,0.008666021107338606,,,,
2012-06-22,,82.256,,-0.000413172925021299,,,,
2012-06-25,,82.497,,0.002929877455747798,,,,
2012-06-26,,82.372,,-0.0015152066135738496,,,,
2012-06-27,,82.618,,0.0029864517068907137,,,,
2012-06-28,,82.807,,0.002287637076666238,,,,
2012-06-29,,81.627,,-0.014250003019068536,,,,
2012-07-02,,81.87,,0.0029769561542138945,,,,
2012-07-03,,81.782,,-0.0010748748015146914,,,,
2012-07-04,,81.782,,0.0,,,,
2012-07-05,,82.813,,0.01260668606783888,,,,
2012-07-06,,83.377,,0.006810524917585381,,,,
2012-07-09,,83.161,,-0.002590642503328189,,,,
2012-07-10,,83.4,,0.002873943314775085,,,,
2012-07-11,,83.568,,0.0020143884892085406,,,,
2012-07-12,,83.659,,0.0010889335630863695,,,,
2012-07-13,,83.349,,-0.0037055188324029986,,,,
2012-07-16,,83.098,,-0.0030114338504362292,,,,
2012-07-17,,83.032,,-0.0007942429420684238,,,,
