,EUR,JPY,GBP,CHF,AUD,CAD,NZD,SEK,ZAR,CNH
2012-01-02,1.2963,76.84,1.5526,0.9391,1.021,1.0215,0.7797,6.8956,8.0762,6.346
2012-01-03,1.2947,76.91,1.5501,0.9401,1.022,1.0194,0.7775,6.8924,8.088,6.3438
2012-01-04,1.3036,76.72,1.5585,0.9329,1.0334,1.0114,0.7872,6.8411,8.056,6.3159
2012-01-05,1.3014,76.66,1.5634,0.9364,1.034,1.0136,0.7885,6.8278,8.093,6.31
2012-01-06,1.2836,76.86,1.5546,0.949,1.0247,1.0193,0.7809,6.9032,8.218,6.3141
2012-01-09,1.2705,76.99,1.5403,0.9569,1.019,1.0278,0.7825,6.9546,8.1665,6.311
2012-01-10,1.2762,76.81,1.5442,0.9523,1.0218,1.0288,0.7845,6.9301,8.1519,6.314
2012-01-11,1.2797,76.85,1.5467,0.9479,1.0324,1.0188,0.7944,6.8984,8.1197,6.313
2012-01-12,1.2761,76.97,1.5436,0.9508,1.0309,1.0153,0.7955,6.8978,8.1052,6.3125
2012-01-13,1.2757,76.89,1.5342,0.9494,1.0344,1.0158,0.7965,6.9296,8.0579,6.3159
2012-01-16,1.2642,76.91,1.5299,0.9536,1.0303,1.0222,0.793,7.0119,8.1455,6.304
2012-01-17,1.2663,76.8,1.531,0.9548,1.0295,1.0209,0.792,7.003,8.1249,6.31
2012-01-18,1.2776,76.8,1.5382,0.9468,1.0419,1.0137,0.801,6.916,8.0346,6.2953
2012-01-19,1.2827,76.76,1.5365,0.9426,1.0418,1.0125,0.8062,6.8762,8.0101,6.2829
2012-01-20,1.2896,76.71,1.5447,0.9365,1.0408,1.0091,0.8014,6.7974,7.9362,6.2958
2012-01-23,1.2906,76.99,1.5549,0.9345,1.0472,1.0132,0.8052,6.8074,7.9457,6.3035
2012-01-24,1.2975,76.91,1.5564,0.9309,1.0535,1.0109,0.8112,6.7772,7.9537,6.3033
2012-01-25,1.2997,77.33,1.5547,0.928,1.0465,1.0113,0.8081,6.7673,8.0076,6.3038
2012-01-26,1.2967,78.2,1.558,0.9322,1.0459,1.0139,0.8052,6.8169,7.9857,6.3015
2012-01-27,1.3156,77.55,1.5696,0.9174,1.0665,1.0005,0.8219,6.7459,7.8238,6.293
2012-01-30,1.3226,76.7,1.573,0.9126,1.0655,1.002,0.8234,6.7383,7.7666,6.287
2012-01-31,1.3126,76.67,1.5676,0.9184,1.0544,1.0049,0.8184,6.7816,7.8462,6.313
2012-02-01,1.3202,76.37,1.5782,0.9129,1.067,0.9982,0.8288,6.7395,7.7658,6.2995
2012-02-02,1.3133,76.09,1.5758,0.9173,1.0667,0.9998,0.8292,6.7701,7.7499,6.2968
2012-02-03,1.3151,76.16,1.5827,0.9169,1.0705,0.9995,0.832,6.733,7.7077,6.2935
2012-02-06,1.3145,76.62,1.5819,0.9188,1.0774,0.9943,0.8345,6.6973,7.555,6.2928
2012-02-07,1.3044,76.64,1.5738,0.9253,1.0695,0.9978,0.8301,6.7533,7.643,6.2995
2012-02-08,1.3135,76.75,1.5813,0.9201,1.0787,0.9966,0.8358,6.7169,7.5711,6.2944
2012-02-09,1.3268,77.02,1.5878,0.9128,1.0825,0.9956,0.8386,6.6604,7.5503,6.2871
2012-02-10,1.3278,77.16,1.5841,0.9115,1.0808,0.9953,0.8363,6.6332,7.6272,6.2925
2012-02-13,1.3193,77.68,1.5758,0.9164,1.0669,1.0007,0.8272,6.6602,7.7089,6.295
2012-02-14,1.3267,77.67,1.5815,0.9115,1.0765,0.9979,0.8366,6.6374,7.6654,6.2965
2012-02-15,1.3203,77.96,1.5758,0.9151,1.0716,0.9987,0.8335,6.6474,7.7099,6.3013
2012-02-16,1.3156,78.53,1.5696,0.9176,1.0756,0.9949,0.8396,6.6692,7.6949,6.2935
2012-02-17,1.3002,78.8,1.5678,0.9282,1.0663,1.004,0.8257,6.7702,7.8458,6.304
2012-02-20,1.3163,79.42,1.5838,0.9173,1.0764,0.9938,0.8351,6.7013,7.7311,6.295
2012-02-21,1.3235,79.55,1.5847,0.9131,1.0782,0.9919,0.8409,6.6635,7.6552,6.2948
2012-02-22,1.3231,79.81,1.5811,0.9125,1.0667,0.9965,0.8345,6.6585,7.7146,6.2995
2012-02-23,1.3233,80.14,1.5723,0.9121,1.0647,0.9976,0.8327,6.6535,7.7186,6.297
2012-02-24,1.3309,80.09,1.5714,0.9059,1.0693,0.9982,0.8324,6.6304,7.6877,6.2978
2012-02-27,1.3458,81.13,1.5877,0.8959,1.07,0.999,0.8361,6.5575,7.6,6.2965
2012-02-28,1.3403,80.67,1.5863,0.8991,1.0656,1.0045,0.8329,6.5836,7.6397,6.3038
2012-02-29,1.3447,80.49,1.5851,0.8962,1.0764,0.9957,0.8377,6.5624,7.5264,6.2995
2012-03-01,1.3443,80.55,1.5939,0.8965,1.0846,0.9894,0.8451,6.563,7.4304,6.296
2012-03-02,1.3326,81.02,1.5942,0.9045,1.0764,0.9879,0.836,6.6157,7.4799,6.2965
2012-03-05,1.3184,81.81,1.5836,0.9148,1.0727,0.989,0.8298,6.6851,7.5131,6.2935
2012-03-06,1.3191,81.26,1.5808,0.9143,1.0682,0.9946,0.8226,6.7009,7.5638,6.3025
2012-03-07,1.3136,80.93,1.5772,0.9179,1.0593,1.0,0.8147,6.7649,7.6358,6.3121
2012-03-08,1.315,80.76,1.5739,0.9168,1.0573,1.0001,0.8182,6.7759,7.6467,6.3075
2012-03-09,1.3214,81.48,1.5797,0.9124,1.0653,0.9958,0.8265,6.7416,7.5346,6.3055
