,EUR,JPY,GBP,CHF,AUD,CAD,NZD,SEK,INR,IDR,ZAR,CNH,KRW
2012-01-02,1.2939,77.0,1.5497,0.9385,1.0215,1.0193,0.7781,6.8897,53.2875,9124.0,8.0827,6.3445,1156.0
2012-01-03,1.2989,76.81,1.5578,0.938,1.0299,1.0134,0.7854,6.8698,53.225,9180.0,8.0637,6.3163,1150.7
2012-01-04,1.3041,76.69,1.5645,0.9341,1.0352,1.0138,0.7882,6.8273,53.0675,9180.0,8.0724,6.3112,1148.35
2012-01-05,1.2934,76.77,1.5611,0.9424,1.033,1.0123,0.7865,6.8406,52.6362,9193.0,8.1512,6.308,1151.95
2012-01-06,1.2777,77.18,1.5503,0.9543,1.0236,1.0195,0.78,6.9304,52.805,9180.0,8.1794,6.3078,1162.5
2012-01-09,1.274,76.88,1.5428,0.954,1.02,1.0291,0.7828,6.9256,52.5888,9190.0,8.1719,6.3118,1161.95
2012-01-10,1.2766,76.85,1.5459,0.9498,1.0288,1.0208,0.7924,6.9023,52.295,9180.0,8.1441,6.3115,1157.0
2012-01-11,1.2753,76.93,1.5464,0.9508,1.0302,1.0157,0.7946,6.9088,51.65,9213.0,8.1082,6.3153,1158.35
2012-01-12,1.2708,76.96,1.5292,0.954,1.0296,1.0189,0.7947,6.9443,51.805,9199.0,8.1028,6.3168,1159.0
2012-01-13,1.2861,76.69,1.5393,0.9419,1.0351,1.0175,0.7933,6.914,51.335,9095.0,8.0417,6.3045,1148.5
2012-01-16,1.2659,76.82,1.5312,0.9542,1.0293,1.0215,0.7927,7.0059,51.515,9185.0,8.1541,6.3098,1153.0
2012-01-17,1.2761,76.6,1.537,0.9486,1.042,1.0128,0.8001,6.9193,50.9775,9235.0,8.0038,6.2975,1143.8
2012-01-18,1.2798,76.71,1.5368,0.9456,1.0399,1.0145,0.8034,6.8886,50.6338,9115.0,8.0031,6.2885,1140.85
2012-01-19,1.2848,76.75,1.5425,0.9406,1.0379,1.011,0.8014,6.8517,50.43,9060.0,7.9946,6.2988,1137.8
2012-01-20,1.2969,77.21,1.549,0.9319,1.0422,1.013,0.8023,6.7608,50.3737,8968.0,7.9388,6.2992,1134.75
2012-01-23,1.29,77.04,1.5541,0.9366,1.0495,1.0128,0.8076,6.7999,50.24,8945.0,7.9412,6.3035,1128.75
2012-01-24,1.3035,77.01,1.5561,0.9261,1.0505,1.0082,0.8107,6.7365,49.9425,8940.0,7.963,6.301,1128.95
2012-01-25,1.3029,77.93,1.5608,0.9289,1.0527,1.0106,0.8114,6.7547,50.0275,9028.0,7.919,6.299,1126.1
2012-01-26,1.3106,77.56,1.5662,0.9214,1.064,1.0015,0.821,6.7435,50.0275,8955.0,7.9052,6.294,1122.5
2012-01-27,1.3088,77.07,1.5683,0.9218,1.0614,1.0039,0.8212,6.798,49.555,8985.0,7.8306,6.292,1124.65
2012-01-30,1.3157,76.69,1.5676,0.9166,1.0562,1.0054,0.8188,6.7773,49.485,9012.0,7.8361,6.3038,1128.0
2012-01-31,1.3163,76.3,1.5733,0.9157,1.0627,1.0006,0.8229,6.7497,49.5488,9010.0,7.8257,6.3053,1124.4
2012-02-01,1.305,76.19,1.5727,0.9229,1.0597,1.0038,0.8233,6.817,49.53,9038.0,7.825,6.3015,1127.85
2012-02-02,1.3184,76.13,1.5837,0.9151,1.0734,0.9972,0.8343,6.7093,49.02,8973.0,7.6552,6.2915,1117.6
2012-02-03,1.3147,76.19,1.583,0.9165,1.0695,0.9992,0.8316,6.7324,48.8875,8983.0,7.6529,6.2965,1117.9
2012-02-06,1.3093,76.6,1.5778,0.922,1.0736,0.9955,0.832,6.7116,48.72,8988.0,7.5823,6.2998,1121.2
2012-02-07,1.3147,76.64,1.5813,0.9176,1.0809,0.9959,0.8361,6.7088,48.8675,8993.0,7.5383,6.2925,1118.15
2012-02-08,1.3269,77.07,1.5912,0.9133,1.0828,0.9944,0.8378,6.6626,49.0875,8990.0,7.5401,6.2885,1115.43
2012-02-09,1.3284,77.23,1.5834,0.9113,1.0808,0.9955,0.8357,6.6498,49.335,8963.0,7.566,6.2925,1117.05
2012-02-10,1.3255,77.68,1.5789,0.9129,1.0694,0.9977,0.8286,6.6629,49.68,8988.0,7.6807,6.298,1124.9
2012-02-13,1.3253,77.7,1.5787,0.9124,1.0745,0.9996,0.8352,6.6481,49.185,9011.0,7.6711,6.2984,1120.3
2012-02-14,1.3152,77.98,1.572,0.9187,1.0685,1.0012,0.8301,6.6798,49.295,9053.0,7.7319,6.302,1124.7
2012-02-15,1.3164,78.47,1.5716,0.9174,1.0737,0.9955,0.8379,6.6674,49.285,9034.0,7.6922,6.2993,1122.5
2012-02-16,1.3022,78.65,1.5688,0.9268,1.0688,1.0016,0.8279,6.7398,49.285,9085.0,7.7909,6.3025,1131.9
2012-02-17,1.3142,79.07,1.5808,0.9189,1.0764,0.9959,0.8365,6.7117,49.225,9045.0,7.7602,6.2985,1125.2
2012-02-20,1.3195,79.44,1.586,0.9158,1.0759,0.9935,0.8396,6.6973,49.225,9038.0,7.6976,6.2968,1124.7
2012-02-21,1.3253,79.8,1.5859,0.9109,1.0724,0.9938,0.8383,6.6496,49.1562,9043.0,7.6625,6.3005,1123.7
2012-02-22,1.3259,80.04,1.5804,0.9107,1.068,0.9959,0.8352,6.6289,49.19,9053.0,7.7131,6.296,1124.75
2012-02-23,1.3273,80.12,1.5688,0.908,1.0663,0.9988,0.8305,6.6582,49.2425,9078.0,7.6986,6.301,1127.5
2012-02-24,1.3375,80.57,1.573,0.902,1.0712,0.9982,0.8366,6.6179,49.116,9128.0,7.6397,6.2968,1128.65
2012-02-27,1.3459,81.11,1.5867,0.8952,1.0671,1.0012,0.8343,6.5557,49.035,9118.0,7.6251,6.2997,1129.6
