,EUR,JPY,GBP,CHF,AUD,CAD,NZD,SEK,INR,IDR,ZAR,CNH,KRW
2012-01-02,1.2947,76.91,1.5501,0.9401,1.0219,1.0194,0.7775,6.8924,53.3075,9080.0,8.088,6.344,1155.86
2012-01-03,1.3035,76.72,1.5585,0.9329,1.0334,1.0114,0.7872,6.8411,53.225,9126.0,8.056,6.316,1150.83
2012-01-04,1.3014,76.66,1.5634,0.9364,1.034,1.0136,0.7885,6.8278,52.9775,9145.0,8.093,6.3108,1148.6
2012-01-05,1.2836,76.86,1.5546,0.949,1.0247,1.0193,0.7809,6.9033,52.985,9163.0,8.218,6.3121,1152.56
2012-01-06,1.2717,76.97,1.5426,0.9552,1.0228,1.0284,0.7806,6.9418,52.7225,9098.0,8.1757,6.307,1162.75
2012-01-09,1.2762,76.81,1.5442,0.9523,1.0218,1.0288,0.7845,6.9301,52.515,9185.0,8.1519,6.314,1163.65
2012-01-10,1.2797,76.85,1.5467,0.9479,1.0324,1.0188,0.7944,6.8984,51.705,9170.0,8.1197,6.313,1156.69
2012-01-11,1.2761,76.97,1.5436,0.9508,1.0309,1.0153,0.7955,6.8978,51.895,9180.0,8.1052,6.3118,1158.78
2012-01-12,1.2757,76.89,1.5342,0.9494,1.0344,1.0158,0.7965,6.9296,51.5838,9170.0,8.0579,6.313,1158.2
2012-01-13,1.268,76.97,1.5318,0.9524,1.0322,1.0232,0.7947,6.9919,51.5288,9180.0,8.13,6.304,1148.4
2012-01-16,1.2663,76.8,1.531,0.9547,1.0295,1.0209,0.792,7.003,51.395,9138.0,8.1249,6.3095,1154.85
2012-01-17,1.2776,76.8,1.5382,0.9468,1.0419,1.0137,0.801,6.916,50.7138,9113.0,8.0346,6.2958,1145.4
2012-01-18,1.2827,76.76,1.5365,0.9426,1.0418,1.0125,0.8062,6.8762,50.415,9048.0,8.01,6.283,1141.75
2012-01-19,1.2896,76.71,1.5447,0.9365,1.0408,1.0091,0.8013,6.7975,50.2375,8999.0,7.9363,6.2965,1137.38
2012-01-20,1.2931,77.01,1.5576,0.9345,1.0484,1.0132,0.8063,6.7826,50.335,8948.0,7.9516,6.3035,1134.21
2012-01-23,1.2975,76.91,1.5564,0.9309,1.0535,1.0109,0.8112,6.7772,50.0825,8960.0,7.9537,6.3035,1130.75
2012-01-24,1.2997,77.33,1.5547,0.928,1.0465,1.0113,0.8081,6.7673,50.0688,8970.0,8.0076,6.306,1128.08
2012-01-25,1.2967,78.2,1.558,0.9322,1.0459,1.0139,0.8052,6.8169,50.1075,8888.0,7.9857,6.299,1125.95
2012-01-26,1.3156,77.55,1.5696,0.9174,1.0665,1.0005,0.8219,6.7461,50.1075,8956.0,7.8238,6.293,1121.83
