,us2y10y,VIX,emRet,rr,fxVol
2012-01-03,,,,,
2012-01-04,-1.6924000000000001,22.97,-365.74,-0.1575,12.1172
2012-01-05,-1.7179000000000002,22.22,-364.82,-0.1675,11.9622
2012-01-06,-1.7353,21.48,-362.84,-0.15,12.0672
2012-01-09,-1.7019,20.63,-360.76,-0.175,11.7851
2012-01-10,-1.7136,21.07,-362.26,-0.17,11.1664
2012-01-11,-1.7279,20.69,-369.24,-0.31,10.7475
2012-01-12,-1.6751,21.05,-369.18,-0.3,11.0941
2012-01-13,-1.6941000000000002,20.47,-371.06,-0.32,10.8075
2012-01-16,-1.6422999999999999,20.91,-370.85,-0.375,11.0386
2012-01-17,-1.6422999999999999,20.91,-370.44,-0.3725,10.8944
2012-01-18,-1.6392,22.2,-378.42,-0.385,10.7689
2012-01-19,-1.6728,20.89,-381.77,-0.265,10.671
2012-01-20,-1.7432,19.87,-385.87,-0.38,10.4696
2012-01-23,-1.7843,18.28,-387.31,-0.285,10.4781
2012-01-24,-1.8167,18.67,-389.09,-0.4775,10.3766
2012-01-25,-1.8255000000000001,18.91,-388.3,-0.74,10.7087
2012-01-26,-1.772,18.31,-389.12,-0.77,11.05
2012-01-27,-1.7205,18.57,-395.11,-0.585,10.2692
2012-01-30,-1.6802000000000001,18.53,-395.75,-0.3125,10.5576
2012-01-31,-1.6331000000000002,19.4,-391.72,-0.3,10.7055
2012-02-01,-1.5823999999999998,19.44,-396.94,-0.205,10.6834
2012-02-02,-1.604,18.55,-401.02,-0.26,10.6166
2012-02-03,-1.5987,17.98,-406.54,-0.2225,10.3399
2012-02-06,-1.6922000000000001,17.1,-408.26,-0.3,10.4571
2012-02-07,-1.6764000000000001,17.76,-407.86,-0.3825,10.3953
2012-02-08,-1.7274,17.65,-408.38,-0.45,10.1974
2012-02-09,-1.7282,18.16,-413.11,-0.47,10.1391
2012-02-10,-1.7745,18.63,-413.5,-0.4875,9.8074
2012-02-13,-1.7123,20.79,-405.9,-0.56,10.3426
2012-02-14,-1.6881,19.04,-410.22,-0.535,10.43
2012-02-15,-1.6541,19.54,-407.88,-0.59,10.1169
2012-02-16,-1.6655,21.14,-412.4,-0.53,10.4926
2012-02-17,-1.6925999999999999,19.22,-408.8,-0.56,10.5216
2012-02-20,-1.7113,17.78,-413.98,-0.5875,10.4959
2012-02-21,-1.7113,17.78,-415.57,-0.6625,10.1518
2012-02-22,-1.7606,18.19,-414.77,-0.59,9.8819
2012-02-23,-1.7064000000000001,18.19,-414.83,-0.5975,9.8999
2012-02-24,-1.6955,16.8,-412.79,-0.515,9.6112
2012-02-27,-1.6708,17.31,-416.03,-0.53,9.7736
2012-02-28,-1.6402,18.19,-411.74,-0.44,9.8797
2012-02-29,-1.6536,17.96,-416.56,-0.38,10.23
2012-03-01,-1.6772999999999998,18.43,-420.71,-0.3825,10.43
2012-03-02,-1.7368000000000001,17.26,-419.65,-0.36,10.18
2012-03-05,-1.7002,17.29,-421.04,-0.4225,10.26
2012-03-06,-1.7169000000000003,18.05,-415.4,-0.355,10.32
2012-03-07,-1.665,20.87,-406.01,-0.14,10.73
2012-03-08,-1.6741000000000001,19.07,-404.67,-0.02,10.48
2012-03-09,-1.7065000000000001,17.95,-410.52,-0.075,10.26
2012-03-12,-1.7100999999999997,17.11,-413.4,-0.515,10.46
2012-03-13,-1.7112,15.64,-409.74,-0.3475,10.52
2012-03-14,-1.7803,14.8,-416.02,-0.32,10.39
2012-03-15,-1.8824,15.31,-416.14,-0.27,10.66
2012-03-16,-1.9170999999999998,15.42,-415.62,-0.2625,10.21
2012-03-19,-1.9353,14.47,-414.85,-0.19,10.25
2012-03-20,-1.9981000000000002,15.04,-414.08,-0.145,9.91
2012-03-21,-1.9677000000000002,15.58,-409.65,-0.07,10.01
2012-03-22,-1.9286999999999999,15.13,-408.8,-0.065,10.08
2012-03-23,-1.9146999999999998,15.57,-406.06,0.11,10.2
2012-03-26,-1.88,14.82,-406.61,0.1525,10.03
2012-03-27,-1.9043,14.26,-407.74,0.08,9.98
2012-03-28,-1.8643000000000003,15.59,-412.08,0.0575,9.86
2012-03-29,-1.8592,15.47,-407.6,0.11,9.95
2012-03-30,-1.8222,15.48,-403.19,0.25,9.99
2012-04-02,-1.8801,15.5,-406.67,0.115,9.96
2012-04-03,-1.8591,15.64,-409.16,0.09,9.91
2012-04-04,-1.9304,15.66,-412.27,0.1175,9.79
2012-04-05,-1.8825,16.44,-405.13,0.05,10.16
2012-04-06,-1.8431,16.7,-405.16,0.065,10.3
2012-04-09,-1.7409,16.7,-404.97,0.105,10.3
2012-04-10,-1.7338,18.81,-400.91,0.1175,10.3
2012-04-11,-1.6965,20.39,-396.98,0.18,10.29
2012-04-12,-1.7451999999999999,20.02,-397.01,0.095,10.13
2012-04-13,-1.7651000000000001,17.2,-400.46,-0.0625,9.91
2012-04-16,-1.7163,19.55,-401.5,-0.15,9.87
2012-04-17,-1.7124,19.55,-398.87,-0.07,9.84
2012-04-18,-1.728,18.46,-398.95,-0.125,9.79
2012-04-19,-1.7092,18.64,-400.39,-0.29,9.81
2012-04-20,-1.7004,18.36,-400.4,-0.3325,9.73
2012-04-23,-1.6987,17.44,-399.7,-0.3525,9.57
